node_1,node_2
0,36
0,39
0,72
0,105
0,136
0,181
0,190
0,194
0,215
0,231
0,287
0,329
0,365
0,391
0,422
0,580
0,585
0,601
0,606
0,644
0,702
0,753
0,764
0,908
0,909
0,960
1,8
1,25
1,28
1,43
1,69
1,182
1,193
1,203
1,211
1,249
1,266
1,280
1,284
1,292
1,303
1,308
1,351
1,357
1,359
1,373
1,405
1,413
1,421
1,445
1,451
1,453
1,489
1,491
1,500
1,507
1,522
1,547
1,549
1,560
1,565
1,574
1,612
1,653
1,678
1,684
1,697
1,719
1,732
1,752
1,777
1,799
1,807
1,813
1,918
1,922
1,923
1,932
1,939
1,961
1,998
2,20
2,53
2,91
2,120
2,134
2,140
2,186
2,198
2,214
2,221
2,232
2,270
2,298
2,305
2,399
2,403
2,461
2,509
2,535
2,536
2,540
2,552
2,611
2,615
2,631
2,645
2,679
2,683
2,717
2,735
2,785
2,791
2,814
2,851
2,881
2,937
2,943
2,953
2,959
2,979
2,986
3,80
3,81
3,112
3,165
3,169
3,176
3,178
3,217
3,219
3,241
3,258
3,270
3,296
3,315
3,331
3,355
3,399
3,420
3,446
3,477
3,478
3,480
3,533
3,552
3,594
3,611
3,614
3,630
3,680
3,685
3,707
3,735
3,742
3,748
3,771
3,779
3,780
3,793
3,796
3,806
3,810
3,847
3,853
3,881
3,884
3,890
3,897
3,905
3,971
3,979
3,981
3,986
4,10
4,13
4,27
4,29
4,44
4,46
4,49
4,60
4,102
4,108
4,110
4,130
4,142
4,151
4,153
4,155
4,163
4,166
4,201
4,205
4,208
4,244
4,246
4,250
4,283
4,294
4,306
4,323
4,338
4,375
4,417
4,426
4,439
4,457
4,476
4,516
4,566
4,586
4,598
4,599
4,610
4,632
4,641
4,650
4,666
4,673
4,706
4,761
4,776
4,783
4,821
4,852
4,859
4,870
4,882
4,888
4,895
4,899
4,902
4,940
4,956
4,958
4,994
4,997
5,19
5,21
5,26
5,27
5,29
5,44
5,65
5,98
5,117
5,122
5,130
5,142
5,153
5,155
5,163
5,166
5,168
5,184
5,205
5,213
5,236
5,244
5,300
5,310
5,311
5,335
5,340
5,344
5,353
5,369
5,371
5,372
5,387
5,404
5,410
5,428
5,434
5,439
5,457
5,472
5,538
5,561
5,564
5,566
5,590
5,593
5,610
5,613
5,641
5,674
5,712
5,741
5,776
5,783
5,784
5,801
5,862
5,870
5,888
5,895
5,915
5,916
5,935
5,994
5,995
6,14
6,27
6,32
6,44
6,123
6,129
6,142
6,147
6,153
6,163
6,166
6,195
6,205
6,225
6,243
6,244
6,281
6,288
6,293
6,299
6,309
6,318
6,335
6,416
6,428
6,433
6,457
6,459
6,468
6,564
6,572
6,610
6,665
6,712
6,783
6,861
6,870
6,873
6,880
6,888
6,895
6,956
6,974
7,20
7,53
7,87
7,91
7,107
7,120
7,134
7,161
7,165
7,178
7,186
7,214
7,217
7,265
7,313
7,461
7,518
7,540
7,630
7,710
7,748
7,805
7,806
7,853
7,943
7,950
8,25
8,28
8,69
8,73
8,80
